CoffeeID,ID,Country of Origin,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects
103,103,Colombia,Bourbon Sidra,Pulped natural / honey,7.67,7.92,7.67,7.58,7.67,7.67,10.0,10.0,10.0,7.58,0.0,83.75,10.6,0,0,greenish,1
104,104,Mexico,Sarchimor,Washed / Wet,7.67,7.67,7.58,7.67,7.83,7.58,10.0,10.0,10.0,7.75,0.0,83.75,11.7,4,0,green,12
105,105,Colombia,,,7.83,7.75,7.5,7.58,7.67,7.67,10.0,10.0,10.0,7.67,0.0,83.67,12.4,1,0,greenish,9
106,106,Taiwan,SL34,Washed / Wet,7.67,7.67,7.75,7.75,7.5,7.67,10.0,10.0,10.0,7.67,0.0,83.67,10.0,0,0,bluish-green,0
107,107,Myanmar,"Catimor,Catuai,Caturra,Bourbon",Natural / Dry,7.83,7.83,7.67,7.58,7.58,7.58,10.0,10.0,10.0,7.58,0.0,83.67,10.2,0,1,pale yellow,1
108,108,Taiwan,unknown,Pulped natural / honey,7.58,7.75,7.67,7.83,7.5,7.67,10.0,10.0,10.0,7.67,0.0,83.67,9.2,0,0,greenish,0
109,109,Honduras,Parainema,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,7.67,0.0,83.67,11.1,0,2,pale yellow,1
110,110,Taiwan,unknown,Natural / Dry,7.58,7.67,7.5,7.75,7.75,7.67,10.0,10.0,10.0,7.67,0.0,83.58,8.4,0,0,green,0
111,111,Taiwan,Typica,Pulped natural / honey,7.58,7.75,7.58,7.75,7.58,7.67,10.0,10.0,10.0,7.67,0.0,83.58,9.1,0,0,green,0
112,112,Guatemala,Caturra,Washed / Wet,7.58,7.83,7.58,7.67,7.58,7.58,10.0,10.0,10.0,7.75,0.0,83.58,10.9,0,2,green,4
113,113,Honduras,SHG,Washed / Wet,7.75,7.67,7.58,7.58,7.58,7.67,10.0,10.0,10.0,7.67,0.0,83.5,11.2,0,1,green,5
114,114,Colombia,Caturra,Washed / Wet,7.75,7.75,7.5,7.58,7.83,7.5,10.0,10.0,10.0,7.58,0.0,83.5,12.2,0,0,bluish-green,2
115,115,Thailand,Bourbon,Washed / Wet,7.42,7.83,7.58,7.67,7.67,7.75,10.0,10.0,10.0,7.58,0.0,83.5,13.1,0,0,green,0
116,116,Ethiopia,Ethiopian Heirlooms,Washed / Wet,7.42,7.42,7.42,8.0,7.92,7.67,10.0,10.0,10.0,7.67,0.0,83.5,10.4,0,1,greenish,11
